agency_name,fiscal_year,total_budget
NEW YORK PUBLIC LIBRARY,2020,146307543
NEW YORK RESEARCH LIBRARIES,2020,28558360
NYC TAXI AND LIMOUSINE COMM,2020,49317576
OFFICE OF ADMINISTRATIVE TAX APPEALS,2020,5416021
OFFICE OF ADMIN TRIALS & HEARINGS,2020,48975013
OFFICE OF COLLECTIVE BARGAINING,2020,2319395
OFFICE OF PAYROLL ADMINISTRATION,2020,16683723
OFFICE OF PROSECUTION SPEC NARCO,2020,23512910
OFFICE OF THE ACTUARY,2020,6971104
OFFICE OF THE COMPTROLLER,2020,110268613
PENSION CONTRIBUTIONS,2020,9945374458
POLICE DEPARTMENT,2020,5996064478
PUBLIC ADMINISTRATOR-BRONX COUNTY,2020,721059
PUBLIC ADMINISTRATOR-KINGS COUNTY,2020,904512
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2020,2998667
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2020,643584
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2020,626338
PUBLIC ADVOCATE,2020,3674399
QUEENS BOROUGH PUBLIC LIBRARY,2020,115798759
QUEENS COMMUNITY BOARD #1,2020,373279
QUEENS COMMUNITY BOARD #10,2020,337147
QUEENS COMMUNITY BOARD #11,2020,371283
QUEENS COMMUNITY BOARD #12,2020,347192
QUEENS COMMUNITY BOARD #13,2020,333187
QUEENS COMMUNITY BOARD #14,2020,320702
QUEENS COMMUNITY BOARD #2,2020,370437
QUEENS COMMUNITY BOARD #3,2020,403395
QUEENS COMMUNITY BOARD #4,2020,360752
QUEENS COMMUNITY BOARD #5,2020,328164
QUEENS COMMUNITY BOARD #6,2020,345964
QUEENS COMMUNITY BOARD #7,2020,377807
QUEENS COMMUNITY BOARD #8,2020,376997
QUEENS COMMUNITY BOARD #9,2020,291338
STATEN ISLAND COMMUNITY BOARD #1,2020,349359
STATEN ISLAND COMMUNITY BOARD #2,2020,333366
STATEN ISLAND COMMUNITY BOARD #3,2020,399956
ADMIN FOR CHILDREN'S SERVICES,2021,2735132251
BOARD OF CORRECTION,2021,2723111
BOARD OF ELECTIONS,2021,227631691
BOROUGH PRESIDENT BRONX,2021,5900244
BOROUGH PRESIDENT - BROOKLYN,2021,7535701
BOROUGH PRESIDENT - MANHATTAN,2021,5090709
BOROUGH PRESIDENT - QUEENS,2021,6445052
BOROUGH PRESIDENT STATEN ISLAND,2021,4612341
BRONX COMMUNITY BOARD #1,2021,358334
BRONX COMMUNITY BOARD #10,2021,365632
BRONX COMMUNITY BOARD #11,2021,352648
BRONX COMMUNITY BOARD #12,2021,300409
BRONX COMMUNITY BOARD #2,2021,349956
BRONX COMMUNITY BOARD #3,2021,357744
BRONX COMMUNITY BOARD #4,2021,305386
BRONX COMMUNITY BOARD #5,2021,293567
BRONX COMMUNITY BOARD #6,2021,292884
BRONX COMMUNITY BOARD #7,2021,353436
BRONX COMMUNITY BOARD #8,2021,349522
BRONX COMMUNITY BOARD #9,2021,399670
BROOKLYN COMMUNITY BOARD #1,2021,366933
BROOKLYN COMMUNITY BOARD #10,2021,389418
BROOKLYN COMMUNITY BOARD #11,2021,363729
BROOKLYN COMMUNITY BOARD #12,2021,393080
BROOKLYN COMMUNITY BOARD #13,2021,355570
BROOKLYN COMMUNITY BOARD #14,2021,376568
BROOKLYN COMMUNITY BOARD #15,2021,292884
BROOKLYN COMMUNITY BOARD #16,2021,330887
BROOKLYN COMMUNITY BOARD #17,2021,381834
BROOKLYN COMMUNITY BOARD #18,2021,292886
BROOKLYN COMMUNITY BOARD #2,2021,364347
BROOKLYN COMMUNITY BOARD #3,2021,343898
BROOKLYN COMMUNITY BOARD #4,2021,355330
BROOKLYN COMMUNITY BOARD #5,2021,292884
BROOKLYN COMMUNITY BOARD #6,2021,305575
BROOKLYN COMMUNITY BOARD #7,2021,308884
BROOKLYN COMMUNITY BOARD #8,2021,367958
BROOKLYN COMMUNITY BOARD #9,2021,402439
BROOKLYN PUBLIC LIBRARY,2021,119372416
BUSINESS INTEGRITY COMMISSION,2021,9045583
CAMPAIGN FINANCE BOARD,2021,24574630
CITY CLERK,2021,5657786
CITY COUNCIL,2021,85034816
CITY UNIVERSITY OF NEW YORK,2021,1325154724
CIVILIAN COMPLAINT REVIEW BOARD,2021,19357183
CIVIL SERVICE COMMISSION,2021,1059220
COMMISSION ON HUMAN RIGHTS,2021,12855742
CONFLICTS OF INTEREST BOARD,2021,2558291
DEBT SERVICE,2021,6580837062
DEPARTMENT FOR THE AGING,2021,432575984
DEPARTMENT OF BUILDINGS,2021,189078962
DEPARTMENT OF CITY PLANNING,2021,47959565
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2021,2690887769
DEPARTMENT OF CONSUMER AFFAIRS,2021,42006734
DEPARTMENT OF CORRECTION,2021,1310387219
DEPARTMENT OF CULTURAL AFFAIRS,2021,214838849
DEPARTMENT OF DESIGN & CONSTRUCTION,2021,530263915
DEPARTMENT OF EDUCATION,2021,28332901699
DEPARTMENT OF EMERGENCY MANAGEMENT,2021,470886988
DEPARTMENT OF EMPLOYMENT,2021,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2021,1464655062
DEPARTMENT OF FINANCE,2021,324389595
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2021,2012486290
DEPARTMENT OF HOMELESS SERVICES,2021,2288546513
DEPARTMENT OF INFO TECH & TELECOMM,2021,862134563
DEPARTMENT OF INVESTIGATION,2021,60932946
DEPARTMENT OF JUVENILE JUSTICE,2021,0
DEPARTMENT OF MENTAL HEALTH,2021,0
DEPARTMENT OF PARKS AND RECREATION,2021,595335141
DEPARTMENT OF PROBATION,2021,115560542
DEPARTMENT OF RECORDS & INFORMATION SVS,2021,9922163
DEPARTMENT OF SANITATION,2021,2064350298
DEPARTMENT OF SMALL BUSINESS SERVICES,2021,423746375
DEPARTMENT OF SOCIAL SERVICES,2021,10525685478
DEPARTMENT OF TRANSPORTATION,2021,1106927141
DEPARTMENT OF VETERANS' SERVICES,2021,5926467
DEPARTMENT OF YOUTH & COMMUNITY DEV,2021,958736476
DISTRICT ATTORNEY BRONX COUNTY,2021,87322091
DISTRICT ATTORNEY KINGS COUNTY,2021,119591005
DISTRICT ATTORNEY NEW YORK COUNTY,2021,145145676
DISTRICT ATTORNEY QUEENS COUNTY,2021,71358681
DISTRICT ATTORNEY RICHMOND COUNTY,2021,18557080
DISTRICTING COMMISSION,2021,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2021,1167802
FINANCIAL INFORMATION SERVICE AGENCY,2021,110869142
FIRE DEPARTMENT,2021,2215209443
HEALTH AND HOSPITALS CORP,2021,1023570285
HOUSING PRESERVATION AND DEVELOPMENT,2021,1366364640
INDEPENDENT BUDGET OFFICE,2021,5090978
LANDMARKS PRESERVATION COMM.,2021,6703118
LAW DEPARTMENT,2021,277797028
MANHATTAN COMMUNITY BOARD #1,2021,465495
MANHATTAN COMMUNITY BOARD #10,2021,415454
MANHATTAN COMMUNITY BOARD #11,2021,374689
MANHATTAN COMMUNITY BOARD #12,2021,450820
MANHATTAN COMMUNITY BOARD #2,2021,427612
MANHATTAN COMMUNITY BOARD #3,2021,433938
MANHATTAN COMMUNITY BOARD #4,2021,458139
MANHATTAN COMMUNITY BOARD #5,2021,402258
MANHATTAN COMMUNITY BOARD #6,2021,576190
MANHATTAN COMMUNITY BOARD #7,2021,392844
MANHATTAN COMMUNITY BOARD #8,2021,467018
MANHATTAN COMMUNITY BOARD #9,2021,431986
MAYORALTY,2021,171316582
MISCELLANEOUS,2021,10027815758
NEW YORK PUBLIC LIBRARY,2021,157451907
NEW YORK RESEARCH LIBRARIES,2021,31043364
NYC TAXI AND LIMOUSINE COMM,2021,53508669
OFFICE OF ADMINISTRATIVE TAX APPEALS,2021,5598844
OFFICE OF ADMIN TRIALS & HEARINGS,2021,45967344
OFFICE OF COLLECTIVE BARGAINING,2021,2305963
OFFICE OF PAYROLL ADMINISTRATION,2021,15815187
OFFICE OF PROSECUTION SPEC NARCO,2021,23750003
OFFICE OF THE ACTUARY,2021,7041511
OFFICE OF THE COMPTROLLER,2021,113043210
PENSION CONTRIBUTIONS,2021,9785821650
POLICE DEPARTMENT,2021,6082976755
PUBLIC ADMINISTRATOR-BRONX COUNTY,2021,727876
PUBLIC ADMINISTRATOR-KINGS COUNTY,2021,888671
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2021,1405213
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2021,608443
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2021,570089
PUBLIC ADVOCATE,2021,4391087
QUEENS BOROUGH PUBLIC LIBRARY,2021,123441210
QUEENS COMMUNITY BOARD #1,2021,382916
QUEENS COMMUNITY BOARD #10,2021,341390
QUEENS COMMUNITY BOARD #11,2021,378069
QUEENS COMMUNITY BOARD #12,2021,355690
QUEENS COMMUNITY BOARD #13,2021,339271
QUEENS COMMUNITY BOARD #14,2021,324930
QUEENS COMMUNITY BOARD #2,2021,375291
QUEENS COMMUNITY BOARD #3,2021,410972
QUEENS COMMUNITY BOARD #4,2021,364982
QUEENS COMMUNITY BOARD #5,2021,335305
QUEENS COMMUNITY BOARD #6,2021,350472
QUEENS COMMUNITY BOARD #7,2021,396100
QUEENS COMMUNITY BOARD #8,2021,377277
QUEENS COMMUNITY BOARD #9,2021,295965
STATEN ISLAND COMMUNITY BOARD #1,2021,354416
STATEN ISLAND COMMUNITY BOARD #2,2021,337886
STATEN ISLAND COMMUNITY BOARD #3,2021,406141
ADMIN FOR CHILDREN'S SERVICES,2022,2727265161
BOARD OF CORRECTION,2022,2460377
BOARD OF ELECTIONS,2022,239031956
BOROUGH PRESIDENT BRONX,2022,6362946
BOROUGH PRESIDENT - BROOKLYN,2022,7398287
BOROUGH PRESIDENT - MANHATTAN,2022,5291556
BOROUGH PRESIDENT - QUEENS,2022,6257754
BOROUGH PRESIDENT STATEN ISLAND,2022,4770485
BRONX COMMUNITY BOARD #1,2022,310976
BRONX COMMUNITY BOARD #10,2022,317623
BRONX COMMUNITY BOARD #11,2022,305144
BRONX COMMUNITY BOARD #12,2022,254554
BRONX COMMUNITY BOARD #2,2022,342567
BRONX COMMUNITY BOARD #3,2022,311861
BRONX COMMUNITY BOARD #4,2022,248300
BRONX COMMUNITY BOARD #5,2022,237781
BRONX COMMUNITY BOARD #6,2022,245167
BRONX COMMUNITY BOARD #7,2022,306633
BRONX COMMUNITY BOARD #8,2022,303954
BRONX COMMUNITY BOARD #9,2022,442266
BROOKLYN COMMUNITY BOARD #1,2022,357778
BROOKLYN COMMUNITY BOARD #10,2022,342016
BROOKLYN COMMUNITY BOARD #11,2022,318672
BROOKLYN COMMUNITY BOARD #12,2022,338879
BROOKLYN COMMUNITY BOARD #13,2022,321954
BROOKLYN COMMUNITY BOARD #14,2022,321723
BROOKLYN COMMUNITY BOARD #15,2022,245251
BROOKLYN COMMUNITY BOARD #16,2022,280101
BROOKLYN COMMUNITY BOARD #17,2022,346397
BROOKLYN COMMUNITY BOARD #18,2022,245253
BROOKLYN COMMUNITY BOARD #2,2022,319283
BROOKLYN COMMUNITY BOARD #3,2022,299703
BROOKLYN COMMUNITY BOARD #4,2022,302740
BROOKLYN COMMUNITY BOARD #5,2022,246795
BROOKLYN COMMUNITY BOARD #6,2022,258218
BROOKLYN COMMUNITY BOARD #7,2022,248835
BROOKLYN COMMUNITY BOARD #8,2022,320831
BROOKLYN COMMUNITY BOARD #9,2022,358280
BROOKLYN PUBLIC LIBRARY,2022,118234434
BUSINESS INTEGRITY COMMISSION,2022,9090607
CAMPAIGN FINANCE BOARD,2022,146149617
CITY CLERK,2022,5303908
CITY COUNCIL,2022,81725339
CITY UNIVERSITY OF NEW YORK,2022,1332569825
CIVILIAN COMPLAINT REVIEW BOARD,2022,21113693
CIVIL SERVICE COMMISSION,2022,1076008
COMMISSION ON HUMAN RIGHTS,2022,12679606
CONFLICTS OF INTEREST BOARD,2022,2528196
DEBT SERVICE,2022,8195198680
DEPARTMENT FOR THE AGING,2022,398817021
DEPARTMENT OF BUILDINGS,2022,205342850
DEPARTMENT OF CITY PLANNING,2022,44748464
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2022,1954739366
DEPARTMENT OF CORRECTION,2022,1251519704
DEPARTMENT OF CULTURAL AFFAIRS,2022,188215591
DEPARTMENT OF DESIGN & CONSTRUCTION,2022,367636587
DEPARTMENT OF EDUCATION,2022,29168888823
DEPARTMENT OF EMERGENCY MANAGEMENT,2022,557405836
DEPARTMENT OF EMPLOYMENT,2022,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2022,1483162816
DEPARTMENT OF FINANCE,2022,313153574
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2022,2500852013
DEPARTMENT OF HOMELESS SERVICES,2022,2881366868
DEPARTMENT OF INFO TECH & TELECOMM,2022,1091266496
DEPARTMENT OF INVESTIGATION,2022,58730832
DEPARTMENT OF JUVENILE JUSTICE,2022,0
DEPARTMENT OF MENTAL HEALTH,2022,0
DEPARTMENT OF PARKS AND RECREATION,2022,564872519
DEPARTMENT OF PROBATION,2022,128518107
DEPARTMENT OF RECORDS & INFORMATION SVS,2022,11510706
DEPARTMENT OF SANITATION,2022,2385562106
DEPARTMENT OF SMALL BUSINESS SERVICES,2022,311961860
DEPARTMENT OF SOCIAL SERVICES,2022,10158128029
DEPARTMENT OF TRANSPORTATION,2022,1140489286
DEPARTMENT OF VETERANS' SERVICES,2022,6330427
DEPARTMENT OF YOUTH & COMMUNITY DEV,2022,961806436
DEPT OF CONSUMER & WORKER PROTECTION,2022,43498872
DISTRICT ATTORNEY BRONX COUNTY,2022,94311339
DISTRICT ATTORNEY KINGS COUNTY,2022,128195016
DISTRICT ATTORNEY NEW YORK COUNTY,2022,145744247
DISTRICT ATTORNEY QUEENS COUNTY,2022,78453263
DISTRICT ATTORNEY RICHMOND COUNTY,2022,19809103
DISTRICTING COMMISSION,2022,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2022,1220177
FINANCIAL INFORMATION SERVICE AGENCY,2022,114365449
FIRE DEPARTMENT,2022,2254294348
HEALTH AND HOSPITALS CORP,2022,2677766264
HOUSING PRESERVATION AND DEVELOPMENT,2022,1344869558
INDEPENDENT BUDGET OFFICE,2022,5967876
LANDMARKS PRESERVATION COMM.,2022,6898895
LAW DEPARTMENT,2022,268830114
MANHATTAN COMMUNITY BOARD #1,2022,411829
MANHATTAN COMMUNITY BOARD #10,2022,407921
MANHATTAN COMMUNITY BOARD #11,2022,347381
MANHATTAN COMMUNITY BOARD #12,2022,418742
MANHATTAN COMMUNITY BOARD #2,2022,379802
MANHATTAN COMMUNITY BOARD #3,2022,397213
MANHATTAN COMMUNITY BOARD #4,2022,403027
MANHATTAN COMMUNITY BOARD #5,2022,341027
MANHATTAN COMMUNITY BOARD #6,2022,520134
MANHATTAN COMMUNITY BOARD #7,2022,373779
MANHATTAN COMMUNITY BOARD #8,2022,421462
MANHATTAN COMMUNITY BOARD #9,2022,381670
MAYORALTY,2022,158008529
MISCELLANEOUS,2022,11546392190
NEW YORK PUBLIC LIBRARY,2022,158734863
NEW YORK RESEARCH LIBRARIES,2022,30720454
NYC TAXI AND LIMOUSINE COMM,2022,116025677
OFFICE OF ADMINISTRATIVE TAX APPEALS,2022,5832413
OFFICE OF ADMIN TRIALS & HEARINGS,2022,43617061
OFFICE OF COLLECTIVE BARGAINING,2022,2386770
OFFICE OF PAYROLL ADMINISTRATION,2022,15127022
OFFICE OF PROSECUTION SPEC NARCO,2022,25991223
OFFICE OF THE ACTUARY,2022,6818029
OFFICE OF THE COMPTROLLER,2022,109282401
PENSION CONTRIBUTIONS,2022,9465235719
POLICE DEPARTMENT,2022,5565365765
PUBLIC ADMINISTRATOR-BRONX COUNTY,2022,755053
PUBLIC ADMINISTRATOR-KINGS COUNTY,2022,926917
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2022,1196127
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2022,651364
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2022,577202
PUBLIC ADVOCATE,2022,4810506
QUEENS BOROUGH PUBLIC LIBRARY,2022,122124930
QUEENS COMMUNITY BOARD #1,2022,343133
QUEENS COMMUNITY BOARD #10,2022,300092
QUEENS COMMUNITY BOARD #11,2022,328037
QUEENS COMMUNITY BOARD #12,2022,309114
QUEENS COMMUNITY BOARD #13,2022,291499
QUEENS COMMUNITY BOARD #14,2022,280276
QUEENS COMMUNITY BOARD #2,2022,334030
QUEENS COMMUNITY BOARD #3,2022,366778
QUEENS COMMUNITY BOARD #4,2022,316967
QUEENS COMMUNITY BOARD #5,2022,289466
QUEENS COMMUNITY BOARD #6,2022,304544
QUEENS COMMUNITY BOARD #7,2022,348789
QUEENS COMMUNITY BOARD #8,2022,331444
QUEENS COMMUNITY BOARD #9,2022,248285
STATEN ISLAND COMMUNITY BOARD #1,2022,309821
STATEN ISLAND COMMUNITY BOARD #2,2022,291854
STATEN ISLAND COMMUNITY BOARD #3,2022,359783
ADMIN FOR CHILDREN'S SERVICES,2023,2755493594
BOARD OF CORRECTION,2023,2277179
BOARD OF ELECTIONS,2023,220854597
BOROUGH PRESIDENT BRONX,2023,7825781
BOROUGH PRESIDENT - BROOKLYN,2023,9475789
BOROUGH PRESIDENT - MANHATTAN,2023,6513277
BOROUGH PRESIDENT - QUEENS,2023,7823064
BOROUGH PRESIDENT STATEN ISLAND,2023,5773590
BRONX COMMUNITY BOARD #1,2023,327228
BRONX COMMUNITY BOARD #10,2023,337294
BRONX COMMUNITY BOARD #11,2023,322838
BRONX COMMUNITY BOARD #12,2023,274739
BRONX COMMUNITY BOARD #2,2023,344535
BRONX COMMUNITY BOARD #3,2023,325586
BRONX COMMUNITY BOARD #4,2023,284342
BRONX COMMUNITY BOARD #5,2023,270055
BRONX COMMUNITY BOARD #6,2023,261635
BRONX COMMUNITY BOARD #7,2023,345518
BRONX COMMUNITY BOARD #8,2023,344062
BRONX COMMUNITY BOARD #9,2023,369557
BROOKLYN COMMUNITY BOARD #1,2023,372763
BROOKLYN COMMUNITY BOARD #10,2023,361459
BROOKLYN COMMUNITY BOARD #11,2023,335086
BROOKLYN COMMUNITY BOARD #12,2023,350181
BROOKLYN COMMUNITY BOARD #13,2023,339973
BROOKLYN COMMUNITY BOARD #14,2023,388143
BROOKLYN COMMUNITY BOARD #15,2023,261219
BROOKLYN COMMUNITY BOARD #16,2023,312375
BROOKLYN COMMUNITY BOARD #17,2023,365413
BROOKLYN COMMUNITY BOARD #18,2023,261221
BROOKLYN COMMUNITY BOARD #2,2023,335827
BROOKLYN COMMUNITY BOARD #3,2023,309437
BROOKLYN COMMUNITY BOARD #4,2023,318839
BROOKLYN COMMUNITY BOARD #5,2023,260507
BROOKLYN COMMUNITY BOARD #6,2023,274470
BROOKLYN COMMUNITY BOARD #7,2023,264803
BROOKLYN COMMUNITY BOARD #8,2023,343905
BROOKLYN COMMUNITY BOARD #9,2023,381182
BROOKLYN PUBLIC LIBRARY,2023,118204890
BUSINESS INTEGRITY COMMISSION,2023,9086946
CAMPAIGN FINANCE BOARD,2023,50407307
CITY CLERK,2023,5963740
CITY COUNCIL,2023,80573279
CITY UNIVERSITY OF NEW YORK,2023,1363176163
CIVILIAN COMPLAINT REVIEW BOARD,2023,22222970
CIVIL SERVICE COMMISSION,2023,1161956
COMMISSION ON HUMAN RIGHTS,2023,11997069
CONFLICTS OF INTEREST BOARD,2023,2517773
DEBT SERVICE,2023,6297141607
DEPARTMENT FOR THE AGING,2023,562120787
DEPARTMENT OF BUILDINGS,2023,199374652
DEPARTMENT OF CITY PLANNING,2023,42844024
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2023,1623965000
DEPARTMENT OF CORRECTION,2023,1416285132
DEPARTMENT OF CULTURAL AFFAIRS,2023,234118315
DEPARTMENT OF DESIGN & CONSTRUCTION,2023,269016314
DEPARTMENT OF EDUCATION,2023,31937815818
DEPARTMENT OF EMERGENCY MANAGEMENT,2023,779886642
DEPARTMENT OF EMPLOYMENT,2023,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2023,1565802170
DEPARTMENT OF FINANCE,2023,321601761
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2023,3237324743
DEPARTMENT OF HOMELESS SERVICES,2023,2818746465
DEPARTMENT OF INFO TECH & TELECOMM,2023,987536869
DEPARTMENT OF INVESTIGATION,2023,55760528
DEPARTMENT OF JUVENILE JUSTICE,2023,0
DEPARTMENT OF MENTAL HEALTH,2023,0
DEPARTMENT OF PARKS AND RECREATION,2023,635690404
DEPARTMENT OF PROBATION,2023,128854242
DEPARTMENT OF RECORDS & INFORMATION SVS,2023,16620623
DEPARTMENT OF SANITATION,2023,2048817181
DEPARTMENT OF SMALL BUSINESS SERVICES,2023,594261467
DEPARTMENT OF SOCIAL SERVICES,2023,11433932027
DEPARTMENT OF TRANSPORTATION,2023,1310816482
DEPARTMENT OF VETERANS' SERVICES,2023,6060686
DEPARTMENT OF YOUTH & COMMUNITY DEV,2023,1044091926
DEPT OF CONSUMER & WORKER PROTECTION,2023,60413952
DISTRICT ATTORNEY BRONX COUNTY,2023,99532629
DISTRICT ATTORNEY KINGS COUNTY,2023,127248468
DISTRICT ATTORNEY NEW YORK COUNTY,2023,167012744
DISTRICT ATTORNEY QUEENS COUNTY,2023,84972290
DISTRICT ATTORNEY RICHMOND COUNTY,2023,23197820
DISTRICTING COMMISSION,2023,412416
EQUAL EMPLOYMENT PRACTICES COMMISSION,2023,1335630
FINANCIAL INFORMATION SERVICE AGENCY,2023,115997622
FIRE DEPARTMENT,2023,2506269294
HEALTH AND HOSPITALS CORP,2023,2703824177
HOUSING PRESERVATION AND DEVELOPMENT,2023,1426429875
INDEPENDENT BUDGET OFFICE,2023,6666863
LANDMARKS PRESERVATION COMM.,2023,7055824
LAW DEPARTMENT,2023,268670178
MANHATTAN COMMUNITY BOARD #1,2023,385147
MANHATTAN COMMUNITY BOARD #10,2023,443789
MANHATTAN COMMUNITY BOARD #11,2023,368498
MANHATTAN COMMUNITY BOARD #12,2023,448617
MANHATTAN COMMUNITY BOARD #2,2023,394295
MANHATTAN COMMUNITY BOARD #3,2023,407396
MANHATTAN COMMUNITY BOARD #4,2023,406742
MANHATTAN COMMUNITY BOARD #5,2023,363192
MANHATTAN COMMUNITY BOARD #6,2023,562576
MANHATTAN COMMUNITY BOARD #7,2023,392813
MANHATTAN COMMUNITY BOARD #8,2023,444060
MANHATTAN COMMUNITY BOARD #9,2023,405123
MAYORALTY,2023,178884523
MISCELLANEOUS,2023,15788944745
NEW YORK PUBLIC LIBRARY,2023,159755888
NEW YORK RESEARCH LIBRARIES,2023,30665153
NYC TAXI AND LIMOUSINE COMM,2023,66077398
OFFICE OF ADMINISTRATIVE TAX APPEALS,2023,5986189
OFFICE OF ADMIN TRIALS & HEARINGS,2023,54419773
OFFICE OF COLLECTIVE BARGAINING,2023,2384137
OFFICE OF PAYROLL ADMINISTRATION,2023,15852197
OFFICE OF PROSECUTION SPEC NARCO,2023,26187908
OFFICE OF THE ACTUARY,2023,6856405
OFFICE OF THE COMPTROLLER,2023,109799243
PENSION CONTRIBUTIONS,2023,9726974701
POLICE DEPARTMENT,2023,5880851658
PUBLIC ADMINISTRATOR-BRONX COUNTY,2023,739859
PUBLIC ADMINISTRATOR-KINGS COUNTY,2023,892464
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2023,1217859
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2023,654864
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2023,600346
PUBLIC ADVOCATE,2023,5613051
QUEENS BOROUGH PUBLIC LIBRARY,2023,122279795
QUEENS COMMUNITY BOARD #1,2023,362700
QUEENS COMMUNITY BOARD #10,2023,314488
QUEENS COMMUNITY BOARD #11,2023,356137
QUEENS COMMUNITY BOARD #12,2023,326684
QUEENS COMMUNITY BOARD #13,2023,314413
QUEENS COMMUNITY BOARD #14,2023,289758
QUEENS COMMUNITY BOARD #2,2023,349998
QUEENS COMMUNITY BOARD #3,2023,373376
QUEENS COMMUNITY BOARD #4,2023,321037
QUEENS COMMUNITY BOARD #5,2023,307162
QUEENS COMMUNITY BOARD #6,2023,324367
QUEENS COMMUNITY BOARD #7,2023,398958
QUEENS COMMUNITY BOARD #8,2023,351112
QUEENS COMMUNITY BOARD #9,2023,265725
STATEN ISLAND COMMUNITY BOARD #1,2023,327621
STATEN ISLAND COMMUNITY BOARD #2,2023,321232
STATEN ISLAND COMMUNITY BOARD #3,2023,378337
ADMIN FOR CHILDREN'S SERVICES,2024,3151680742
BOARD OF CORRECTION,2024,3085669
BOARD OF ELECTIONS,2024,254139657
BOROUGH PRESIDENT BRONX,2024,7197205
BOROUGH PRESIDENT - BROOKLYN,2024,8438340
BOROUGH PRESIDENT - MANHATTAN,2024,5687613
BOROUGH PRESIDENT - QUEENS,2024,7538000
BOROUGH PRESIDENT STATEN ISLAND,2024,5410687
BRONX COMMUNITY BOARD #1,2024,344995
BRONX COMMUNITY BOARD #10,2024,350086
BRONX COMMUNITY BOARD #11,2024,337651
BRONX COMMUNITY BOARD #12,2024,278231
BRONX COMMUNITY BOARD #2,2024,348394
BRONX COMMUNITY BOARD #3,2024,326014
BRONX COMMUNITY BOARD #4,2024,284458
BRONX COMMUNITY BOARD #5,2024,268151
BRONX COMMUNITY BOARD #6,2024,266806
BRONX COMMUNITY BOARD #7,2024,360425
BRONX COMMUNITY BOARD #8,2024,331625
BRONX COMMUNITY BOARD #9,2024,337503
BROOKLYN COMMUNITY BOARD #1,2024,410738
BROOKLYN COMMUNITY BOARD #10,2024,374060
BROOKLYN COMMUNITY BOARD #11,2024,342264
BROOKLYN COMMUNITY BOARD #12,2024,352814
BROOKLYN COMMUNITY BOARD #13,2024,353082
BROOKLYN COMMUNITY BOARD #14,2024,381332
BROOKLYN COMMUNITY BOARD #15,2024,264395
BROOKLYN COMMUNITY BOARD #16,2024,306907
BROOKLYN COMMUNITY BOARD #17,2024,371971
BROOKLYN COMMUNITY BOARD #18,2024,269104
BROOKLYN COMMUNITY BOARD #2,2024,338518
BROOKLYN COMMUNITY BOARD #3,2024,316593
BROOKLYN COMMUNITY BOARD #4,2024,322048
BROOKLYN COMMUNITY BOARD #5,2024,266879
BROOKLYN COMMUNITY BOARD #6,2024,363613
BROOKLYN COMMUNITY BOARD #7,2024,275020
BROOKLYN COMMUNITY BOARD #8,2024,348679
BROOKLYN COMMUNITY BOARD #9,2024,390884
BROOKLYN PUBLIC LIBRARY,2024,130940541
BUSINESS INTEGRITY COMMISSION,2024,9110261
CAMPAIGN FINANCE BOARD,2024,76033936
CITY CLERK,2024,6035945
CITY COUNCIL,2024,100027482
CITY UNIVERSITY OF NEW YORK,2024,1396707871
CIVILIAN COMPLAINT REVIEW BOARD,2024,23312090
CIVIL SERVICE COMMISSION,2024,1145327
COMMISSION ON HUMAN RIGHTS,2024,11675983
COMMISSION ON RACIAL EQUITY,2024,0
CONFLICTS OF INTEREST BOARD,2024,2642753
CRIMINAL JUSTICE COORDINATOR,2024,0
DEBT SERVICE,2024,7139071340
DEPARTMENT FOR THE AGING,2024,545291149
DEPARTMENT OF BUILDINGS,2024,192463222
DEPARTMENT OF CITY PLANNING,2024,44238107
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2024,1666642787
DEPARTMENT OF CORRECTION,2024,1358236534
DEPARTMENT OF CULTURAL AFFAIRS,2024,251167091
DEPARTMENT OF DESIGN & CONSTRUCTION,2024,287565441
DEPARTMENT OF EDUCATION,2024,31377888452
DEPARTMENT OF EMERGENCY MANAGEMENT,2024,218537217
DEPARTMENT OF EMPLOYMENT,2024,0
